id,name,display_name,description,created_at,updated_at
1,owner,Owner,,2017-11-14 14:17:42,2017-11-14 14:17:42
2,admin,Administrativo,,2017-11-14 14:17:43,2017-11-14 14:17:43
3,commercial,Comercial,,2017-11-14 14:17:44,2017-11-14 14:17:44
4,coordenator,Coordenador,,2017-11-14 14:17:45,2017-11-14 14:17:45
5,manager,Gerente,,2017-11-14 14:17:46,2017-11-14 14:17:46
6,recepcionist,Recepcionista,,2017-11-14 14:17:47,2017-11-14 14:17:47
7,seller,Vendedor,,2017-11-14 14:17:48,2017-11-14 14:17:48
8,operator,Operador Callcenter,,2017-11-14 14:17:49,2017-11-14 14:17:49
9,supervisor,Supervisor,,2017-11-14 14:17:50,2017-11-14 14:17:50
